,STATION_NAME,DATE,PRCP,SNWD,SNOW,Precip,dateCol
130,NEW YORK LAGUARDIA AIRPORT NY US,20131108,0,0,0,0,2013-11-08
131,NEW YORK LAGUARDIA AIRPORT NY US,20131109,0,0,0,0,2013-11-09
132,NEW YORK LAGUARDIA AIRPORT NY US,20131110,0,0,0,0,2013-11-10
133,NEW YORK LAGUARDIA AIRPORT NY US,20131111,0,0,0,0,2013-11-11
134,NEW YORK LAGUARDIA AIRPORT NY US,20131112,8,0,0,1,2013-11-12
135,NEW YORK LAGUARDIA AIRPORT NY US,20131113,0,0,0,0,2013-11-13
136,NEW YORK LAGUARDIA AIRPORT NY US,20131114,0,0,0,0,2013-11-14
137,NEW YORK LAGUARDIA AIRPORT NY US,20131115,0,0,0,0,2013-11-15
138,NEW YORK LAGUARDIA AIRPORT NY US,20131116,13,0,0,1,2013-11-16
139,NEW YORK LAGUARDIA AIRPORT NY US,20131117,5,0,0,1,2013-11-17
140,NEW YORK LAGUARDIA AIRPORT NY US,20131118,58,0,0,1,2013-11-18
141,NEW YORK LAGUARDIA AIRPORT NY US,20131119,0,0,0,0,2013-11-19
142,NEW YORK LAGUARDIA AIRPORT NY US,20131120,0,0,0,0,2013-11-20
143,NEW YORK LAGUARDIA AIRPORT NY US,20131121,0,0,0,0,2013-11-21
144,NEW YORK LAGUARDIA AIRPORT NY US,20131122,18,0,0,1,2013-11-22
145,NEW YORK LAGUARDIA AIRPORT NY US,20131123,5,0,5,1,2013-11-23
146,NEW YORK LAGUARDIA AIRPORT NY US,20131124,0,0,0,0,2013-11-24
147,NEW YORK LAGUARDIA AIRPORT NY US,20131125,0,0,0,0,2013-11-25
148,NEW YORK LAGUARDIA AIRPORT NY US,20131126,119,0,0,1,2013-11-26
149,NEW YORK LAGUARDIA AIRPORT NY US,20131127,442,0,0,1,2013-11-27
150,NEW YORK LAGUARDIA AIRPORT NY US,20131128,0,0,0,0,2013-11-28
151,NEW YORK LAGUARDIA AIRPORT NY US,20131129,0,0,0,0,2013-11-29
152,NEW YORK LAGUARDIA AIRPORT NY US,20131130,0,0,0,0,2013-11-30
153,NEW YORK LAGUARDIA AIRPORT NY US,20131201,0,0,0,0,2013-12-01
154,NEW YORK LAGUARDIA AIRPORT NY US,20131202,0,0,0,0,2013-12-02
155,NEW YORK LAGUARDIA AIRPORT NY US,20131203,0,0,0,0,2013-12-03
156,NEW YORK LAGUARDIA AIRPORT NY US,20131204,0,0,0,0,2013-12-04
157,NEW YORK LAGUARDIA AIRPORT NY US,20131205,3,0,0,1,2013-12-05
158,NEW YORK LAGUARDIA AIRPORT NY US,20131206,185,0,0,1,2013-12-06
159,NEW YORK LAGUARDIA AIRPORT NY US,20131207,33,0,0,1,2013-12-07
160,NEW YORK LAGUARDIA AIRPORT NY US,20131208,13,0,18,1,2013-12-08
161,NEW YORK LAGUARDIA AIRPORT NY US,20131209,53,0,0,1,2013-12-09
162,NEW YORK LAGUARDIA AIRPORT NY US,20131210,56,0,28,1,2013-12-10
163,NEW YORK LAGUARDIA AIRPORT NY US,20131211,0,0,0,0,2013-12-11
164,NEW YORK LAGUARDIA AIRPORT NY US,20131212,0,0,0,0,2013-12-12
165,NEW YORK LAGUARDIA AIRPORT NY US,20131213,0,0,0,0,2013-12-13
166,NEW YORK LAGUARDIA AIRPORT NY US,20131214,112,0,119,1,2013-12-14
167,NEW YORK LAGUARDIA AIRPORT NY US,20131215,196,50,0,1,2013-12-15
168,NEW YORK LAGUARDIA AIRPORT NY US,20131216,0,30,0,0,2013-12-16
169,NEW YORK LAGUARDIA AIRPORT NY US,20131217,41,30,28,1,2013-12-17
170,NEW YORK LAGUARDIA AIRPORT NY US,20131218,0,30,0,0,2013-12-18
171,NEW YORK LAGUARDIA AIRPORT NY US,20131219,0,30,0,0,2013-12-19
172,NEW YORK LAGUARDIA AIRPORT NY US,20131220,0,0,0,0,2013-12-20
173,NEW YORK LAGUARDIA AIRPORT NY US,20131221,0,0,0,0,2013-12-21
174,NEW YORK LAGUARDIA AIRPORT NY US,20131222,3,0,0,1,2013-12-22
175,NEW YORK LAGUARDIA AIRPORT NY US,20131223,135,0,0,1,2013-12-23
176,NEW YORK LAGUARDIA AIRPORT NY US,20131224,0,0,0,0,2013-12-24
177,NEW YORK LAGUARDIA AIRPORT NY US,20131225,0,0,0,0,2013-12-25
178,NEW YORK LAGUARDIA AIRPORT NY US,20131226,0,0,0,0,2013-12-26
179,NEW YORK LAGUARDIA AIRPORT NY US,20131227,0,0,0,0,2013-12-27
180,NEW YORK LAGUARDIA AIRPORT NY US,20131228,0,0,0,0,2013-12-28
181,NEW YORK LAGUARDIA AIRPORT NY US,20131229,305,0,0,1,2013-12-29
182,NEW YORK LAGUARDIA AIRPORT NY US,20131230,0,0,0,0,2013-12-30
183,NEW YORK LAGUARDIA AIRPORT NY US,20131231,0,0,0,0,2013-12-31
184,NEW YORK LAGUARDIA AIRPORT NY US,20140101,0,0,0,0,2014-01-01
185,NEW YORK LAGUARDIA AIRPORT NY US,20140102,46,0,86,1,2014-01-02
186,NEW YORK LAGUARDIA AIRPORT NY US,20140103,64,180,114,1,2014-01-03
187,NEW YORK LAGUARDIA AIRPORT NY US,20140104,0,200,0,0,2014-01-04
188,NEW YORK LAGUARDIA AIRPORT NY US,20140105,25,100,0,1,2014-01-05
189,NEW YORK LAGUARDIA AIRPORT NY US,20140106,79,0,0,1,2014-01-06
190,NEW YORK LAGUARDIA AIRPORT NY US,20140107,0,0,0,0,2014-01-07
191,NEW YORK LAGUARDIA AIRPORT NY US,20140108,0,0,0,0,2014-01-08
192,NEW YORK LAGUARDIA AIRPORT NY US,20140109,0,0,0,0,2014-01-09
193,NEW YORK LAGUARDIA AIRPORT NY US,20140110,38,0,3,1,2014-01-10
194,NEW YORK LAGUARDIA AIRPORT NY US,20140111,127,0,0,1,2014-01-11
195,NEW YORK LAGUARDIA AIRPORT NY US,20140112,5,0,0,1,2014-01-12
196,NEW YORK LAGUARDIA AIRPORT NY US,20140113,0,0,0,0,2014-01-13
197,NEW YORK LAGUARDIA AIRPORT NY US,20140114,97,0,0,1,2014-01-14
198,NEW YORK LAGUARDIA AIRPORT NY US,20140115,0,0,0,0,2014-01-15
199,NEW YORK LAGUARDIA AIRPORT NY US,20140116,0,0,0,0,2014-01-16
200,NEW YORK LAGUARDIA AIRPORT NY US,20140117,0,0,0,0,2014-01-17
201,NEW YORK LAGUARDIA AIRPORT NY US,20140118,38,0,0,1,2014-01-18
202,NEW YORK LAGUARDIA AIRPORT NY US,20140119,0,0,0,0,2014-01-19
203,NEW YORK LAGUARDIA AIRPORT NY US,20140120,0,0,0,0,2014-01-20
204,NEW YORK LAGUARDIA AIRPORT NY US,20140121,64,0,206,1,2014-01-21
205,NEW YORK LAGUARDIA AIRPORT NY US,20140122,0,200,0,0,2014-01-22
206,NEW YORK LAGUARDIA AIRPORT NY US,20140123,0,130,0,0,2014-01-23
207,NEW YORK LAGUARDIA AIRPORT NY US,20140124,0,100,0,0,2014-01-24
208,NEW YORK LAGUARDIA AIRPORT NY US,20140125,5,100,5,1,2014-01-25
209,NEW YORK LAGUARDIA AIRPORT NY US,20140126,0,100,3,1,2014-01-26
210,NEW YORK LAGUARDIA AIRPORT NY US,20140127,0,80,0,0,2014-01-27
211,NEW YORK LAGUARDIA AIRPORT NY US,20140128,0,30,0,0,2014-01-28
